1922,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1922,Conference placeholder,American League Team Standings,American League Team Standings,Strike Splits placeholder,Ties placeholder,American League Team Standings,American League Team Standings,American League Team Standings,Payroll placeholder
1927,Conference placeholder,1927 American League Team Standings 1927 Team Standings | 1927 World Series,1927 American League Team Standings 1927 Team Standings | 1927 World Series,Strike Splits placeholder,Ties placeholder,1927 American League Team Standings 1927 Team Standings | 1927 World Series,1927 American League Team Standings 1927 Team Standings | 1927 World Series,1927 American League Team Standings 1927 Team Standings | 1927 World Series,Payroll placeholder
1927,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1927,Conference placeholder,New York Yankees,110,Strike Splits placeholder,Ties placeholder,44,.714,0,Payroll placeholder
1927,Conference placeholder,Philadelphia Athletics,91,Strike Splits placeholder,Ties placeholder,63,.591,19,Payroll placeholder
1927,Conference placeholder,Washington Senators,85,Strike Splits placeholder,Ties placeholder,69,.552,25,Payroll placeholder
1927,Conference placeholder,Detroit Tigers,82,Strike Splits placeholder,Ties placeholder,71,.536,27½,Payroll placeholder
1927,Conference placeholder,Chicago White Sox,70,Strike Splits placeholder,Ties placeholder,83,.458,39½,Payroll placeholder
1927,Conference placeholder,Cleveland Indians,66,Strike Splits placeholder,Ties placeholder,87,.431,43½,Payroll placeholder
1927,Conference placeholder,St. Louis Browns,59,Strike Splits placeholder,Ties placeholder,94,.386,50½,Payroll placeholder
1927,Conference placeholder,Boston Red Sox,51,Strike Splits placeholder,Ties placeholder,103,.331,59,Payroll placeholder
1927,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1927,Conference placeholder,American League Team Standings,American League Team Standings,Strike Splits placeholder,Ties placeholder,American League Team Standings,American League Team Standings,American League Team Standings,Payroll placeholder
