1905,Conference placeholder,Detroit Tigers,79,74,Ties placeholder,.516,15½,Payroll placeholder
1905,Conference placeholder,Boston Americans,78,74,Ties placeholder,.513,16,Payroll placeholder
1905,Conference placeholder,Cleveland Naps,76,78,Ties placeholder,.494,19,Payroll placeholder
1905,Conference placeholder,New York Highlanders,71,78,Ties placeholder,.477,21½,Payroll placeholder
1905,Conference placeholder,Washington Senators,64,87,Ties placeholder,.424,29½,Payroll placeholder
1905,Conference placeholder,St. Louis Browns,54,99,Ties placeholder,.353,40½,Payroll placeholder
1923,Conference placeholder,1923 American League  Team Standings,1923 American League  Team Standings,1923 American League  Team Standings,Ties placeholder,1923 American League  Team Standings,1923 American League  Team Standings,Payroll placeholder
1923,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1923,Conference placeholder,New York Yankees,98,54,Ties placeholder,.610,0,Payroll placeholder
1923,Conference placeholder,Detroit Tigers,83,71,Ties placeholder,.539,16,Payroll placeholder
1923,Conference placeholder,Cleveland Indians,82,71,Ties placeholder,.536,16½,Payroll placeholder
1923,Conference placeholder,Washington Senators,75,78,Ties placeholder,.490,23½,Payroll placeholder
1923,Conference placeholder,St. Louis Browns,74,78,Ties placeholder,.487,24,Payroll placeholder
1923,Conference placeholder,Philadelphia Athletics,69,83,Ties placeholder,.454,29,Payroll placeholder
1923,Conference placeholder,Chicago White Sox,69,85,Ties placeholder,.448,30,Payroll placeholder
1923,Conference placeholder,Boston Red Sox,61,91,Ties placeholder,.401,37,Payroll placeholder
1924,Conference placeholder,1924 American League  Team Standings,1924 American League  Team Standings,1924 American League  Team Standings,Ties placeholder,1924 American League  Team Standings,1924 American League  Team Standings,Payroll placeholder
1924,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1924,Conference placeholder,Washington Senators,92,62,Ties placeholder,.597,0,Payroll placeholder
1924,Conference placeholder,New York Yankees,89,63,Ties placeholder,.586,2,Payroll placeholder
1924,Conference placeholder,Detroit Tigers,86,68,Ties placeholder,.558,6,Payroll placeholder
1924,Conference placeholder,St. Louis Browns,74,78,Ties placeholder,.487,17,Payroll placeholder
1924,Conference placeholder,Philadelphia Athletics,71,81,Ties placeholder,.467,20,Payroll placeholder
1924,Conference placeholder,Cleveland Indians,67,86,Ties placeholder,.438,24½,Payroll placeholder
1924,Conference placeholder,Boston Red Sox,67,87,Ties placeholder,.435,25,Payroll placeholder
1924,Conference placeholder,Chicago White Sox,66,87,Ties placeholder,.431,25½,Payroll placeholder
1925,Conference placeholder,1925 American League  Team Standings,1925 American League  Team Standings,1925 American League  Team Standings,Ties placeholder,1925 American League  Team Standings,1925 American League  Team Standings,Payroll placeholder
1925,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1925,Conference placeholder,Washington Senators,96,55,Ties placeholder,.636,0,Payroll placeholder
1925,Conference placeholder,Philadelphia Athletics,88,64,Ties placeholder,.579,8½,Payroll placeholder
1925,Conference placeholder,St. Louis Browns,82,71,Ties placeholder,.536,15,Payroll placeholder
1925,Conference placeholder,Detroit Tigers,81,73,Ties placeholder,.526,16½,Payroll placeholder
1925,Conference placeholder,Chicago White Sox,79,75,Ties placeholder,.513,18½,Payroll placeholder
1925,Conference placeholder,Cleveland Indians,70,84,Ties placeholder,.455,27½,Payroll placeholder
1925,Conference placeholder,New York Yankees,69,85,Ties placeholder,.448,28½,Payroll placeholder
1925,Conference placeholder,Boston Red Sox,47,105,Ties placeholder,.309,49½,Payroll placeholder
1926,Conference placeholder,1926 American League Team Standings,1926 American League Team Standings,1926 American League Team Standings,Ties placeholder,1926 American League Team Standings,1926 American League Team Standings,Payroll placeholder
1926,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1926,Conference placeholder,New York Yankees,91,63,Ties placeholder,.591,0,Payroll placeholder
1926,Conference placeholder,Cleveland Indians,88,66,Ties placeholder,.571,3,Payroll placeholder
1926,Conference placeholder,Philadelphia Athletics,83,67,Ties placeholder,.553,6,Payroll placeholder
1926,Conference placeholder,Washington Senators,81,69,Ties placeholder,.540,8,Payroll placeholder
1926,Conference placeholder,Chicago White Sox,81,72,Ties placeholder,.529,9½,Payroll placeholder
1926,Conference placeholder,Detroit Tigers,79,75,Ties placeholder,.513,12,Payroll placeholder
1926,Conference placeholder,St. Louis Browns,62,92,Ties placeholder,.403,29,Payroll placeholder
1926,Conference placeholder,Boston Red Sox,46,107,Ties placeholder,.301,44½,Payroll placeholder
1928,Conference placeholder,1928 American League  Team Standings,1928 American League  Team Standings,1928 American League  Team Standings,1928 American League  Team Standings,1928 American League  Team Standings,1928 American League  Team Standings,Payroll placeholder
1928,Conference placeholder,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll placeholder
1928,Conference placeholder,New York Yankees,101,53,0,.656,0,Payroll placeholder
1928,Conference placeholder,Philadelphia Athletics,98,55,0,.641,2½,Payroll placeholder
1928,Conference placeholder,St. Louis Browns,82,72,0,.532,19,Payroll placeholder
1928,Conference placeholder,Washington Senators,75,79,1,.487,26,Payroll placeholder
1928,Conference placeholder,Chicago White Sox,72,82,1,.468,29,Payroll placeholder
1928,Conference placeholder,Detroit Tigers,68,86,0,.442,33,Payroll placeholder
1928,Conference placeholder,Cleveland Indians,62,92,1,.403,39,Payroll placeholder
1928,Conference placeholder,Boston Red Sox,57,96,1,.373,43½,Payroll placeholder
1929,Conference placeholder,1929 American League  Team Standings,1929 American League  Team Standings,1929 American League  Team Standings,Ties placeholder,1929 American League  Team Standings,1929 American League  Team Standings,Payroll placeholder
1929,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1929,Conference placeholder,Philadelphia Athletics,104,46,Ties placeholder,.693,0,Payroll placeholder
1929,Conference placeholder,New York Yankees,88,66,Ties placeholder,.571,18,Payroll placeholder
1929,Conference placeholder,Cleveland Indians,81,71,Ties placeholder,.533,24,Payroll placeholder
1929,Conference placeholder,St. Louis Browns,79,73,Ties placeholder,.520,26,Payroll placeholder
1929,Conference placeholder,Washington Senators,71,81,Ties placeholder,.467,34,Payroll placeholder
1929,Conference placeholder,Detroit Tigers,70,84,Ties placeholder,.455,36,Payroll placeholder
1929,Conference placeholder,Chicago White Sox,59,93,Ties placeholder,.388,46,Payroll placeholder
1929,Conference placeholder,Boston Red Sox,58,96,Ties placeholder,.377,48,Payroll placeholder
1930,Conference placeholder,1930 American League Team Standings,1930 American League Team Standings,1930 American League Team Standings,Ties placeholder,1930 American League Team Standings,1930 American League Team Standings,Payroll placeholder
1930,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1930,Conference placeholder,Philadelphia Athletics,102,52,Ties placeholder,.662,0,Payroll placeholder
1930,Conference placeholder,Washington Senators,94,60,Ties placeholder,.610,8,Payroll placeholder
1930,Conference placeholder,New York Yankees,86,68,Ties placeholder,.558,16,Payroll placeholder
1930,Conference placeholder,Cleveland Indians,81,73,Ties placeholder,.526,21,Payroll placeholder
1930,Conference placeholder,Detroit Tigers,75,79,Ties placeholder,.487,27,Payroll placeholder
1930,Conference placeholder,St. Louis Browns,64,90,Ties placeholder,.416,38,Payroll placeholder
1930,Conference placeholder,Chicago White Sox,62,92,Ties placeholder,.403,40,Payroll placeholder
1930,Conference placeholder,Boston Red Sox,52,102,Ties placeholder,.338,50,Payroll placeholder
1931,Conference placeholder,1931 American League  Team Standings,1931 American League  Team Standings,1931 American League  Team Standings,Ties placeholder,1931 American League  Team Standings,1931 American League  Team Standings,Payroll placeholder
1931,Conference placeholder,Team [Click for roster],Wins,Losses,Ties placeholder,WP,GB,Payroll placeholder
1931,Conference placeholder,Philadelphia Athletics,107,45,Ties placeholder,.704,0,Payroll placeholder
1931,Conference placeholder,New York Yankees,94,59,Ties placeholder,.614,13½,Payroll placeholder
1931,Conference placeholder,Washington Senators,92,62,Ties placeholder,.597,16,Payroll placeholder
1931,Conference placeholder,Cleveland Indians,78,76,Ties placeholder,.506,30,Payroll placeholder
