Year,Statistic Name,Name(s),Team(s),Statistic Value
1910,Batting Average,Nap Lajoie,Detroit,0.384
1910,Doubles,Nap Lajoie,Cleveland,51.0
1910,Hits,Nap Lajoie,Cleveland,227.0
1910,Home Runs,Jake Stahl,Boston,10.0
1910,On Base Percentage,Ty Cobb,Detroit,0.455
1910,RBI,Sam Crawford,Detroit,120.0
1910,Runs,Ty Cobb,Detroit,106.0
1910,Slugging Average,Ty Cobb,Detroit,0.549
1910,Stolen Bases,Eddie Collins,Philadelphia,81.0
1910,Total Bases,Nap Lajoie,Cleveland,304.0
1910,Triples,Sam Crawford,Detroit,19.0
1911,Base on Balls,Donie Bush,Detroit,98.0
1911,Batting Average,Ty Cobb,Detroit,0.419
1911,Doubles,Ty Cobb,Detroit,47.0
1911,Hits,Ty Cobb,Detroit,248.0
1911,Home Runs,Frank Baker,Philadelphia,11.0
1911,On Base Percentage,Joe Jackson,Cleveland,0.468
1911,RBI,Ty Cobb,Detroit,127.0
1911,Runs,Ty Cobb,Detroit,147.0
1911,Slugging Average,Ty Cobb,Detroit,0.62
1911,Stolen Bases,Ty Cobb,Detroit,83.0
1911,Total Bases,Ty Cobb,Detroit,367.0
1911,Triples,Ty Cobb,Detroit,24.0
1912,Base on Balls,Donie Bush,Detroit,117.0
1912,Batting Average,Ty Cobb,Detroit,0.409
1912,Doubles,Tris Speaker,Boston,53.0
1912,Hits,Ty Cobb,Detroit,226.0
1912,Hits,Joe Jackson,Cleveland,226.0
1912,Home Runs,Frank Baker,Philadelphia,10.0
1912,Home Runs,Tris Speaker,Boston,10.0
1912,On Base Percentage,Tris Speaker,Boston,0.464
1912,RBI,Frank Baker,Philadelphia,130.0
1912,Runs,Eddie Collins,Philadelphia,137.0
1912,Slugging Average,Ty Cobb,Detroit,0.584
1912,Stolen Bases,Clyde Milan,Washington,88.0
1912,Total Bases,Joe Jackson,Cleveland,331.0
1912,Triples,Joe Jackson,Cleveland,26.0
1913,Base on Balls,Burt Shotton,St. Louis,99.0
1913,Batting Average,Ty Cobb,Detroit,0.389
1913,Doubles,Joe Jackson,Cleveland,39.0
1913,Hits,Joe Jackson,Cleveland,197.0
1913,Home Runs,Frank Baker,Philadelphia,12.0
1913,On Base Percentage,Ty Cobb,Detroit,0.466
1913,RBI,Frank Baker,Philadelphia,117.0
1913,Runs,Eddie Collins,Philadelphia,125.0
1913,Slugging Average,Joe Jackson,Cleveland,0.551
1913,Stolen Bases,Clyde Milan,Washington,75.0
1913,Total Bases,Sam Crawford,Detroit,298.0
1913,Triples,Sam Crawford,Detroit,23.0
1914,Base on Balls,Donie Bush,Detroit,112.0
1914,Batting Average,Ty Cobb *,Detroit,0.368
1914,Doubles,Tris Speaker,Boston,46.0
1914,Hits,Tris Speaker,Boston,193.0
1914,Home Runs,Frank Baker,Philadelphia,9.0
1914,On Base Percentage,Eddie Collins,Philadelphia,0.452
1914,RBI,Sam Crawford,Detroit,104.0
1914,Runs,Eddie Collins,Philadelphia,122.0
1914,Slugging Average,Tris Speaker,Boston,0.503
1914,Stolen Bases,Fritz Maisel,New York,74.0
1914,Total Bases,Tris Speaker,Boston,287.0
1914,Triples,Sam Crawford,Detroit,26.0
1915,Base on Balls,Eddie Collins,Chicago,119.0
1915,Batting Average,Ty Cobb,Detroit,0.369
1915,Doubles,Bobby Veach,Detroit,40.0
1915,Hits,Ty Cobb,Detroit,208.0
1915,Home Runs,Braggo Roth,Chicago,7.0
1915,Home Runs,Braggo Roth,Cleveland,7.0
1915,On Base Percentage,Ty Cobb,Detroit,0.486
1915,RBI,Sam Crawford,Detroit,112.0
1915,RBI,Bobby Veach,Detroit,112.0
1915,Runs,Ty Cobb,Detroit,144.0
1915,Slugging Average,Jack Fournier,Chicago,0.491
1915,Stolen Bases,Ty Cobb,Detroit,96.0
1915,Total Bases,Ty Cobb,Detroit,274.0
1915,Triples,Sam Crawford,Detroit,19.0
1916,Base on Balls,Burt Shotton,St. Louis,110.0
1916,Batting Average,Tris Speaker,Cleveland,0.386
1916,Doubles,Jack Graney,Cleveland,41.0
1916,Doubles,Tris Speaker,Cleveland,41.0
1916,Hits,Tris Speaker,Cleveland,211.0
1916,Home Runs,Wally Pipp,New York,12.0
1916,On Base Percentage,Tris Speaker,Cleveland,0.47
1916,RBI,Del Pratt,St. Louis,103.0
1916,Runs,Ty Cobb,Detroit,113.0
1916,Slugging Average,Tris Speaker,Cleveland,0.502
1916,Stolen Bases,Ty Cobb,Detroit,68.0
1916,Total Bases,Joe Jackson,Chicago,293.0
1916,Triples,Joe Jackson,Chicago,21.0
1917,Base on Balls,Jack Graney,Cleveland,94.0
1917,Batting Average,Ty Cobb,Detroit,0.383
1917,Doubles,Ty Cobb,Detroit,44.0
1917,Hits,Ty Cobb,Detroit,225.0
1917,Home Runs,Wally Pipp,New York,9.0
1917,On Base Percentage,Ty Cobb,Detroit,0.444
1917,RBI,Bobby Veach,Detroit,103.0
1917,Runs,Donie Bush,Detroit,112.0
1917,Slugging Average,Ty Cobb,Detroit,0.57
1917,Stolen Bases,Ty Cobb,Detroit,55.0
1917,Total Bases,Ty Cobb,Detroit,335.0
1917,Triples,Ty Cobb,Detroit,24.0
1918,Base on Balls,Ray Chapman,Cleveland,84.0
1918,Batting Average,Ty Cobb,Detroit,0.382
1918,Doubles,Tris Speaker,Cleveland,33.0
1918,Hits,George Burns,Philadelphia,178.0
1918,Home Runs,Babe Ruth,Boston,11.0
1918,Home Runs,Tilly Walker,Philadelphia,11.0
1918,On Base Percentage,Ty Cobb,Detroit,0.44
1918,RBI,Bobby Veach,Detroit,78.0
1918,Runs,Ray Chapman,Cleveland,84.0
1918,Slugging Average,Babe Ruth,Boston,0.555
1918,Stolen Bases,George Sisler,St. Louis,45.0
1918,Total Bases,George Burns,Philadelphia,236.0
1918,Triples,Ty Cobb,Detroit,14.0
1919,Base on Balls,Jack Graney,Cleveland,105.0
1919,Batting Average,Ty Cobb,Detroit,0.384
1919,Doubles,BobbyVeach,Detroit,45.0
1919,Hits,Ty Cobb,Detroit,191.0
1919,Hits,BobbyVeach,Detroit,191.0
1919,Home Runs,Babe Ruth,Boston,29.0
1919,On Base Percentage,Babe Ruth,Boston,0.456
1919,RBI,Babe Ruth,Boston,114.0
1919,Runs,Babe Ruth,Boston,103.0
1919,Slugging Average,Babe Ruth,Boston,0.657
1919,Stolen Bases,Eddie Collins,Chicago,33.0
1919,Total Bases,Babe Ruth,Boston,284.0
1919,Triples,BobbyVeach,Detroit,17.0
1920,Base on Balls,Babe Ruth,New York,150.0
1920,Batting Average,George Sisler,St. Louis,0.407
1920,Doubles,Tris Speaker,Cleveland,50.0
1920,Hits,George Sisler,St. Louis,257.0
1920,Home Runs,Babe Ruth,New York,54.0
1920,On Base Percentage,Babe Ruth,New York,0.532
1920,RBI,Babe Ruth,New York,137.0
1920,Runs,Babe Ruth,New York,158.0
1920,Slugging Average,Babe Ruth,New York,0.847
1920,Stolen Bases,Sam Rice,Washington,63.0
1920,Total Bases,George Sisler,St. Louis,399.0
1920,Triples,Joe Jackson,Chicago,20.0
1921,Base on Balls,Babe Ruth,New York,145.0
1921,Batting Average,Harry Heilmann,Detroit,0.394
1921,Doubles,Tris Speaker,Cleveland,52.0
1921,Hits,Harry Heilmann,Detroit,237.0
1921,Home Runs,Babe Ruth,New York,59.0
1921,On Base Percentage,Babe Ruth,New York,0.512
1921,RBI,Babe Ruth,New York,171.0
1921,Runs,Babe Ruth,New York,177.0
1921,Slugging Average,Babe Ruth,New York,0.846
1921,Stolen Bases,George Sisler,St. Louis,35.0
1921,Total Bases,Babe Ruth,New York,457.0
1921,Triples,Howie Shanks,Washington,18.0
1921,Triples,George Sisler,St. Louis,18.0
1921,Triples,Jack Tobin,St. Louis,18.0
1922,Base on Balls,Whitey Witt,New York,89.0
1922,Batting Average,George Sisler,St. Louis,0.42
1922,Doubles,Tris Speaker,Cleveland,48.0
1922,Hits,George Sisler,St. Louis,246.0
1922,Home Runs,Ken Williams,St. Louis,39.0
1922,On Base Percentage,Tris Speaker,Cleveland,0.474
1922,RBI,Ken Williams,St. Louis,155.0
1922,Runs,George Sisler,St. Louis,134.0
1922,Slugging Average,Babe Ruth,New York,0.672
1922,Stolen Bases,George Sisler,St. Louis,51.0
1922,Total Bases,Ken Williams,St. Louis,367.0
1922,Triples,George Sisler,St. Louis,18.0
1923,Base on Balls,Babe Ruth,New York,170.0
1923,Batting Average,Harry Heilmann,Detroit,0.403
1923,Doubles,Tris Speaker,Cleveland,59.0
1923,Hits,Charlie Jamieson,Cleveland,222.0
1923,Home Runs,Babe Ruth,New York,41.0
1923,On Base Percentage,Babe Ruth,New York,0.545
1923,RBI,Babe Ruth,New York,131.0
1923,Runs,Babe Ruth,New York,151.0
1923,Slugging Average,Babe Ruth,New York,0.764
1923,Stolen Bases,Eddie Collins,Chicago,48.0
1923,Total Bases,Babe Ruth,New York,399.0
1923,Triples,Goose Goslin,Washington,18.0
1923,Triples,Sam Rice,Washington,18.0
1924,Base on Balls,Babe Ruth,New York,142.0
1924,Batting Average,Babe Ruth,New York,0.378
1924,Doubles,Harry Heilmann,Detroit,45.0
1924,Doubles,Joe Sewell,Cleveland,45.0
1924,Hits,Sam Rice,Washington,216.0
1924,Home Runs,Babe Ruth,New York,46.0
